CLASS,ITEM NUMBER,,,DESCRIPTION,COLOR,SIZE (Inches),QUANTITY/PACKAGE,UNIT OF MEASURE,COST
TAG,11018,Fine Fabric Paddle Fasteners,Shipping Supplies,Fine Fabric Paddle Fasteners,Natural,2," 5,000 ",Package,7.63
TAG,10417,Fine Fabric Paddle Fasteners,Shipping Supplies,Fine Fabric Paddle Fasteners,Natural,3," 5,000 ",Package,11.50
TAG,08985,Secur-a-tie Fasteners,Shipping Supplies,Secur-a-tie Fasteners,Natural,5," 5,000 ",Package,22.68
TAG,JUSTC112,Standard Paddle Swiftach,Shipping Supplies,Standard Paddle Swiftach,Natural,1," 5,000 ",Package,2.65
TAG,08035,Standard Paddle Swiftach,Shipping Supplies,Standard Paddle Swiftach,Natural,0.5," 10,000 ",Package,2.65
TAG,08939,Standard Paddle Swiftach,Shipping Supplies,Standard Paddle Swiftach,Black,0.5," 5,000 ",Package,11.85
TAG,08952,Standard Paddle Swiftach,Shipping Supplies,Standard Paddle Swiftach,Black,1," 5,000 ",Package,4.58
TAG,08986,Standard Paddle Swiftach,Shipping Supplies,Standard Paddle Swiftach,Natrual,2," 5,000 ",Package,2.65
TAG,10347-1,Standard Paddle Swiftach,Shipping Supplies,Standard Paddle Swiftach,Natural,3," 5,000 ",Package,2.65
TAG,08302,Standard Paddle Swiftach,Shipping Supplies,Standard Paddle Swiftach,Black,3," 5,000 ",Package,4.75
TAG,08350,Super Secur-a-tach Fasteners,Shipping Supplies,Super Secur-a-tach Fasteners,Natural,3," 5,000 ",Package,15.15
TAG,08300,Super Secur-a-tach Fasteners,Shipping Supplies,Super Secur-a-tach Fasteners,Natural,5," 5,000 ",Package,15.50
TAG,08301,Super Secur-a-tach Fasteners,Shipping Supplies,Super Secur-a-tach Fasteners,Natural,9," 5,000 ",Package,22.50
TAG,10416,Super Secur-a-tach Fasteners,Shipping Supplies,Super Secur-a-tach Fasteners,Natural,18," 5,000 ",Package,38.85
